Date,NVDA
1/24/22,233.72
1/25/22,223.24
1/26/22,227.72
1/27/22,219.44
1/28/22,228.4
1/31/22,244.86
2/1/22,246.38
2/2/22,252.42
2/3/22,239.48
2/4/22,243.19
2/7/22,247.28
2/8/22,251.08
2/9/22,267.05
2/10/22,258.24
2/11/22,239.49
2/14/22,242.67
2/15/22,264.95
2/16/22,265.11
2/17/22,245.07
2/18/22,236.42
2/22/22,233.9
2/23/22,223.87
2/24/22,237.48
2/25/22,241.57
2/28/22,243.85
3/1/22,234.77
3/2/22,242.2
3/3/22,237.14
3/4/22,229.36
3/7/22,213.52
3/8/22,215.14
3/9/22,230.14
3/10/22,226.58
3/11/22,221
3/14/22,213.3
3/15/22,229.73
3/16/22,244.96
3/17/22,247.66
3/18/22,264.53
3/21/22,267.34
3/22/22,265.24
3/23/22,256.34
3/24/22,281.5
3/25/22,276.92
3/28/22,282.19
3/29/22,286.56
3/30/22,276.9
3/31/22,272.86
4/1/22,267.12
4/4/22,273.6
4/5/22,259.31
4/6/22,244.07
4/7/22,242.08
4/8/22,231.19
4/11/22,219.17
4/12/22,215.04
4/13/22,222.03
4/14/22,212.58
4/18/22,217.83
4/19/22,221.98
4/20/22,214.82
4/21/22,201.83
4/22/22,195.15
4/25/22,199.02
4/26/22,187.88
4/27/22,184.15
4/28/22,197.82
4/29/22,185.47
5/2/22,195.33
5/3/22,196.02
5/4/22,203.34
5/5/22,188.44
5/6/22,186.75
5/9/22,169.5
5/10/22,175.95
5/11/22,166.3
5/12/22,161.75
5/13/22,177.06
5/16/22,172.64
5/17/22,181.77
5/18/22,169.38
5/19/22,171.24
5/20/22,166.94
5/23/22,168.98
5/24/22,161.54
5/25/22,169.75
5/26/22,178.51
5/27/22,188.11
5/31/22,186.72
6/1/22,183.2
6/2/22,195.92
6/3/22,187.2
6/6/22,187.86
6/7/22,189.26
6/8/22,186.48
6/9/22,180.48
6/10/22,169.74
6/13/22,156.47
6/14/22,158.36
6/15/22,165.27
6/16/22,156.01
6/17/22,158.8
6/21/22,165.66
6/22/22,163.6
6/23/22,162.25
6/24/22,171.26
6/27/22,168.69
6/28/22,159.82
6/29/22,155.42
6/30/22,151.59
7/1/22,145.23
7/5/22,149.64
7/6/22,151.3
7/7/22,158.58
7/8/22,158.38
7/11/22,151.52
7/12/22,150.82
7/13/22,151.64
7/14/22,153.72
7/15/22,157.62
7/18/22,161.01
7/19/22,169.92
7/20/22,178.07
7/21/22,180.5
7/22/22,173.19
7/25/22,170.24
7/26/22,165.33
7/27/22,177.9
7/28/22,179.84
7/29/22,181.63
8/1/22,184.41
8/2/22,185.26
8/3/22,188.93
8/4/22,192.15
8/5/22,189.89
8/8/22,177.93
8/9/22,170.86
8/10/22,180.97
8/11/22,179.42
8/12/22,187.09
8/15/22,190.32
8/16/22,188.79
8/17/22,183.35
8/18/22,187.73
8/19/22,178.49
8/22/22,170.34
8/23/22,171.81
8/24/22,172.22
8/25/22,179.13
8/26/22,162.6
8/29/22,158.01
8/30/22,154.68
8/31/22,150.94
9/1/22,139.37
9/2/22,136.47
9/6/22,134.65
9/7/22,137.14
9/8/22,139.9
9/9/22,143.87
9/12/22,145.05
9/13/22,131.31
9/14/22,131.28
9/15/22,129.29
9/16/22,131.98
9/19/22,133.82
9/20/22,131.76
9/21/22,132.61
9/22/22,125.61
9/23/22,125.16
9/26/22,122.28
9/27/22,124.13
9/28/22,127.36
9/29/22,122.2
9/30/22,121.39
10/3/22,125.12
10/4/22,131.67
10/5/22,132.09
10/6/22,131.3
10/7/22,120.76
10/10/22,116.7
10/11/22,115.86
10/12/22,115
10/13/22,119.6
10/14/22,112.27
10/17/22,118.88
10/18/22,119.67
10/19/22,120.51
10/20/22,121.94
10/21/22,124.66
10/24/22,125.99
10/25/22,132.61
10/26/22,128.96
10/27/22,131.76
10/28/22,138.34
10/31/22,134.97
11/1/22,135.43
11/2/22,132.19
11/3/22,134.21
11/4/22,141.56
11/7/22,143.01
11/8/22,146.02
11/9/22,137.76
11/10/22,157.5
11/11/22,163.27
11/14/22,162.95
11/15/22,166.66
11/16/22,159.1
11/17/22,156.77
11/18/22,154.09
11/21/22,153.17
11/22/22,160.38
11/23/22,165.19
11/25/22,162.7
11/28/22,158.27
11/29/22,156.39
11/30/22,169.23
12/1/22,171.35
12/2/22,168.76
12/5/22,166.1
12/6/22,159.87
12/7/22,161.2
12/8/22,171.69
12/9/22,170.01
12/12/22,175.35
12/13/22,180.72
12/14/22,176.74
12/15/22,169.52
12/16/22,165.71
12/19/22,162.54
12/20/22,160.85
12/21/22,165.01
12/22/22,153.39
12/23/22,152.06
12/27/22,141.21
12/28/22,140.36
12/29/22,146.03
12/30/22,146.14
1/3/23,143.15
1/4/23,147.49
1/5/23,142.65
1/6/23,148.59
1/9/23,156.28
1/10/23,159.09
1/11/23,160.01
1/12/23,165.11
1/13/23,168.99
1/17/23,177.02
1/18/23,173.77
1/19/23,167.65
1/20/23,178.39
