Date,SPY
1/24/22,439.84
1/25/22,434.47
1/26/22,433.38
1/27/22,431.24
1/28/22,441.95
1/31/22,449.91
2/1/22,452.95
2/2/22,457.35
2/3/22,446.6
2/4/22,448.7
2/7/22,447.26
2/8/22,450.94
2/9/22,457.54
2/10/22,449.32
2/11/22,440.46
2/14/22,439.02
2/15/22,446.1
2/16/22,446.6
2/17/22,437.06
2/18/22,434.23
2/22/22,429.57
2/23/22,421.95
2/24/22,428.3
2/25/22,437.75
2/28/22,436.63
3/1/22,429.98
3/2/22,437.89
3/3/22,435.71
3/4/22,432.17
3/7/22,419.43
3/8/22,416.25
3/9/22,427.41
3/10/22,425.48
3/11/22,420.07
3/14/22,417
3/15/22,426.17
3/16/22,435.62
3/17/22,441.07
3/18/22,444.52
3/21/22,444.39
3/22/22,449.59
3/23/22,443.8
3/24/22,450.49
3/25/22,452.69
3/28/22,455.91
3/29/22,461.55
3/30/22,458.7
3/31/22,451.64
4/1/22,452.92
4/4/22,456.8
4/5/22,451.03
4/6/22,446.52
4/7/22,448.77
4/8/22,447.57
4/11/22,439.92
4/12/22,438.29
4/13/22,443.31
4/14/22,437.79
4/18/22,437.97
4/19/22,445.04
4/20/22,444.71
4/21/22,438.06
4/22/22,426.04
4/25/22,428.51
4/26/22,416.1
4/27/22,417.27
4/28/22,427.81
4/29/22,412
5/2/22,414.48
5/3/22,416.38
5/4/22,429.06
5/5/22,413.81
5/6/22,411.34
5/9/22,398.17
5/10/22,399.09
5/11/22,392.75
5/12/22,392.34
5/13/22,401.72
5/16/22,400.09
5/17/22,408.32
5/18/22,391.86
5/19/22,389.46
5/20/22,389.63
5/23/22,396.92
5/24/22,393.89
5/25/22,397.37
5/26/22,405.31
5/27/22,415.26
5/31/22,412.93
6/1/22,409.59
6/2/22,417.39
6/3/22,410.54
6/6/22,411.79
6/7/22,415.74
6/8/22,411.22
6/9/22,401.44
6/10/22,389.8
6/13/22,375
6/14/22,373.87
6/15/22,379.2
6/16/22,366.65
6/17/22,365.86
6/21/22,375.07
6/22/22,374.39
6/23/22,378.06
6/24/22,390.08
6/27/22,388.59
6/28/22,380.65
6/29/22,380.34
6/30/22,377.25
7/1/22,381.24
7/5/22,381.96
7/6/22,383.25
7/7/22,388.99
7/8/22,388.67
7/11/22,384.23
7/12/22,380.83
7/13/22,378.83
7/14/22,377.91
7/15/22,385.13
7/18/22,381.95
7/19/22,392.27
7/20/22,394.77
7/21/22,398.79
7/22/22,395.09
7/25/22,395.57
7/26/22,390.89
7/27/22,401.04
7/28/22,406.07
7/29/22,411.99
8/1/22,410.77
8/2/22,408.06
8/3/22,414.45
8/4/22,414.17
8/5/22,413.47
8/8/22,412.99
8/9/22,411.35
8/10/22,419.99
8/11/22,419.99
8/12/22,427.1
8/15/22,428.86
8/16/22,429.7
8/17/22,426.65
8/18/22,427.89
8/19/22,422.14
8/22/22,413.35
8/23/22,412.35
8/24/22,413.67
8/25/22,419.51
8/26/22,405.31
8/29/22,402.63
8/30/22,398.21
8/31/22,395.18
9/1/22,396.42
9/2/22,392.24
9/6/22,390.76
9/7/22,397.78
9/8/22,400.38
9/9/22,406.6
9/12/22,410.97
9/13/22,393.1
9/14/22,394.6
9/15/22,390.12
9/16/22,385.56
9/19/22,388.55
9/20/22,384.09
9/21/22,377.39
9/22/22,374.22
9/23/22,367.95
9/26/22,364.31
9/27/22,363.38
9/28/22,370.53
9/29/22,362.79
9/30/22,357.18
10/3/22,366.61
10/4/22,377.97
10/5/22,377.09
10/6/22,373.2
10/7/22,362.79
10/10/22,360.02
10/11/22,357.74
10/12/22,356.56
10/13/22,365.97
10/14/22,357.63
10/17/22,366.82
10/18/22,371.13
10/19/22,368.5
10/20/22,365.41
10/21/22,374.29
10/24/22,378.87
10/25/22,384.92
10/26/22,382.02
10/27/22,379.98
10/28/22,389.02
10/31/22,386.21
11/1/22,384.52
11/2/22,374.87
11/3/22,371.01
11/4/22,376.35
11/7/22,379.95
11/8/22,382
11/9/22,374.13
11/10/22,394.69
11/11/22,398.51
11/14/22,395.12
11/15/22,398.49
11/16/22,395.45
11/17/22,394.24
11/18/22,396.03
11/21/22,394.59
11/22/22,399.9
11/23/22,402.42
11/25/22,402.33
11/28/22,395.91
11/29/22,395.23
11/30/22,407.68
12/1/22,407.38
12/2/22,406.91
12/5/22,399.59
12/6/22,393.83
12/7/22,393.16
12/8/22,396.24
12/9/22,393.28
12/12/22,398.95
12/13/22,401.97
12/14/22,399.4
12/15/22,389.63
12/16/22,383.27
12/19/22,380.02
12/20/22,380.54
12/21/22,386.23
12/22/22,380.72
12/23/22,382.91
12/27/22,381.4
12/28/22,376.66
12/29/22,383.44
12/30/22,382.43
1/3/23,380.82
1/4/23,383.76
1/5/23,379.38
1/6/23,388.08
1/9/23,387.86
1/10/23,390.58
1/11/23,395.52
1/12/23,396.96
1/13/23,398.5
1/17/23,397.77
1/18/23,391.49
1/19/23,388.64
1/20/23,395.88
